Word, English Literal Meaning,Telugu Meaning, Computer Science Meaning, Telugu Meaning
Abstract, existing in thought or as an idea but not having a physical or concrete existence, ఆలోచనలో లేదా ఆలోచనగా ఉండి, భౌతిక లేదా కాంక్రీటు ఉనికిని కలిగి , a programmer hides all but the relevant data about an object in order to reduce complexity and increase efficiency, ఒక ప్రోగ్రామర్ సంక్లిష్టతను తగ్గించడానికి మరియు సామర్థ్యాన్ని పెంచుకోవడానికి ఒక వస్తువు గురించి సంబంధించిన అన్ని సమాచారాన్ని మాత్రమే దాచిపెడతాడు.
Syntax, the arrangement of words and phrases to create well-formed sentences in a language, ఒక భాషలో బాగా-ఏర్పడిన వాక్యాలను రూపొందించడానికి పదాలు మరియు పదబంధాల అమరిక, Syntax refers to the spelling and grammar of a programming language, సింటాక్స్ ఒక ప్రోగ్రామింగ్ భాష యొక్క స్పెల్లింగ్ మరియు వ్యాకరణాన్ని సూచిస్తుంది.
Optimization, the action of making the best or most effective use of a situation or resource, పరిస్థితి లేదా వనరు యొక్క ఉత్తమ లేదా అత్యంత ప్రభావవంతమైన ఉపయోగం చేసే చర్య, optimization is the process of modifying a system to make some features of it work more efficiently or use fewer resources, ఆప్టిమైజేషన్ అది కొన్ని లక్షణాలను మరింత సమర్ధవంతంగా పని చేయడానికి లేదా తక్కువ వనరులను ఉపయోగించటానికి వ్యవస్థను సవరించుట ప్రక్రియ.
Subtle, making use of clever and indirect methods to achieve something, ఏదో సాధించడానికి తెలివైన మరియు పరోక్ష పద్ధతులను ఉపయోగించడం.
Exception, a person or thing that is excluded from a general statement or does not follow a rule, ఒక సాధారణ ప్రకటన నుండి మినహాయించబడిన లేదా ఒక నియమం పాటించని వ్యక్తి లేదా విషయం, An exception is an event. which occurs during the execution of a program. that disrupts the normal flow of the program's instructions, ఒక మినహాయింపు ఒక కార్యక్రమం అమలు సమయంలో జరుగుతుంది. ఇది ప్రోగ్రామ్ సూచనల యొక్క సాధారణ ప్రవాహాన్ని దెబ్బతీస్తుంది.
Segmentation, division into separate parts or sections, ప్రత్యేక భాగాలు లేదా విభాగాలుగా విభజన, a reference to a memory location includes a value that identifies a segment and an offset (memory location) within that segment, మెమొరీ స్థానానికి ఒక ప్రస్తావన ఆ సెగ్మెంట్లో ఒక సెగ్మెంట్ మరియు ఆఫ్సెట్ (మెమరీ స్థానం) ను గుర్తిస్తుంది.
Volatile, liable to change rapidly and unpredictably. especially for the worse, వేగంగా మరియు అనూహ్యంగా మార్చడానికి. ముఖ్యంగా దారుణంగా మార్చడం, volatile is used to describe memory content that is lost when the power is interrupted or switched off, అస్థిరత శక్తి అంతరాయం లేదా స్విచ్ ఆఫ్ చేసినప్పుడు కోల్పోయిన మెమరీ కంటెంట్ వివరించడానికి ఉపయోగిస్తారు.
Isolate, the process or fact of isolating or being isolated, వేరుచేయడం లేదా వేరుచేయడం అనే ప్రక్రియ లేదా వాస్తవం,  Isolation of a transaction means that it is executed independently of all other transactions, లావాదేవీ యొక్క ఐసోలేషన్ అనగా అది ఇతర లావాదేవీల నుండి స్వతంత్రంగా అమలు చేయబడుతుంది. 
Abstraction , సంగ్రహణం వినియోగదారు నుండి అమలు వివరాలు దాచడం ఒక ప్రక్రియ, Abstraction is a process of hiding the implementation details from the user,,
crashes, సాఫ్ట్వేర్ అప్లికేషన్ పనితీరు నిలిపివేసింది మరియు కార్యక్రమం నుండి నిష్క్రమించింది,The functioning of software application got stopped and exit from program,,
static variable, స్టాటిక్ వేరియబుల్ కోసం మెమొరీ ప్రోగ్రామ్ కంపైలేషన్ సమయంలో కేటాయించబడుతుంది., The memory for static variable is allocated at the time of program compilation.,,
dynamic variable, ప్రోగ్రామ్ ఎక్సిక్యూషన్ సమయంలో డైనమిక్ వేరియబుల్ కోసం మెమరీ కేటాయించబడుతుంది. , The memory for dynamic variable is allocated at the time of program execution.,,
Debugging, డీబగ్గింగ్ అనేది కంప్యూటర్ ప్రోగ్రామ్ దోషాలను గుర్తించడం మరియు తొలగించడం యొక్క సాధారణ ప్రక్రియ, దోషాలు లేదా అసాధారణతలు, ఇది పద్ధతిపరంగా డీబగ్గింగ్ టూల్స్ ద్వారా సాఫ్ట్వేర్ ప్రోగ్రామర్లు నిర్వహిస్తుంది. ,Debugging is the routine process of locating and removing computer program bugs errors or abnormalities which is methodically handled by software programmers via debugging tools.,,
User defined data type, A user-defined data type (UDT) is a data type that derived from an existing data type, వినియోగదారు నిర్వచించిన డేటా రకం అనేది ఇప్పటికే ఉన్న డేటా రకానికి చెందిన డేటా రకం,,
 
